Node_x Node_y             X                    Y                    Z
 10   9      1.4224005758E+02     1.1945730191E+02    -5.8710676647E+02
 10  10      1.4224005758E+02     1.3445730191E+02    -5.8711365137E+02
 10  11      1.4224005758E+02     1.4945730191E+02    -5.8711261943E+02
 10  12      1.4224005758E+02     1.6445730191E+02    -5.8712325436E+02
 10  13      1.4224005758E+02     1.7945730191E+02    -5.8711733591E+02
 10  14      1.4224005758E+02     1.9445730191E+02    -5.8712279881E+02
 10  15      1.4224005758E+02     2.0945730191E+02    -5.8711847087E+02
 10  16      1.4224005758E+02     2.2445730191E+02    -5.8711464856E+02
 10  17      1.4224005758E+02     2.3945730191E+02    -5.8710963089E+02
 10  18      1.4224005758E+02     2.5445730191E+02    -5.8710656524E+02
 10  19      1.4224005758E+02     2.6945730191E+02    -5.8710274689E+02
 10  20      1.4224005758E+02     2.8445730191E+02    -5.8710331173E+02
 10  21      1.4224005758E+02     2.9945730191E+02    -5.8710626702E+02
 10  22      1.4224005758E+02     3.1445730191E+02    -5.8711284392E+02
 10  23      1.4224005758E+02     3.2945730191E+02    -5.8711262189E+02
 10  24      1.4224005758E+02     3.4445730191E+02    -5.8712328275E+02
 10  25      1.4224005758E+02     3.5945730191E+02    -5.8712244922E+02
 11   1      1.5724005758E+02    -5.4269808751E-01    -5.8711305959E+02
 11   2      1.5724005758E+02     1.4457301912E+01    -5.8711520435E+02
 11   3      1.5724005758E+02     2.9457301912E+01    -5.8710874596E+02
 11   4      1.5724005758E+02     4.4457301912E+01    -5.8710353390E+02
 11   5      1.5724005758E+02     5.9457301912E+01    -5.8709717137E+02
 11   6      1.5724005758E+02     7.4457301912E+01    -5.8709097946E+02
 11   7      1.5724005758E+02     8.9457301912E+01    -5.8708684887E+02
 11   8      1.5724005758E+02     1.0445730191E+02    -5.8710284380E+02
 11   9      1.5724005758E+02     1.1945730191E+02    -5.8710599894E+02
 11  10      1.5724005758E+02     1.3445730191E+02    -5.8711452990E+02
 11  11      1.5724005758E+02     1.4945730191E+02    -5.8711242437E+02
 11  12      1.5724005758E+02     1.6445730191E+02    -5.8712522070E+02
 11  13      1.5724005758E+02     1.7945730191E+02    -5.8712336752E+02
 11  14      1.5724005758E+02     1.9445730191E+02    -5.8712474902E+02
 11  15      1.5724005758E+02     2.0945730191E+02    -5.8711937537E+02
 11  16      1.5724005758E+02     2.2445730191E+02    -5.8711642304E+02
 11  17      1.5724005758E+02     2.3945730191E+02    -5.8711058789E+02
 11  18      1.5724005758E+02     2.5445730191E+02    -5.8710601061E+02
 11  19      1.5724005758E+02     2.6945730191E+02    -5.8710103227E+02
 11  20      1.5724005758E+02     2.8445730191E+02    -5.8710184183E+02
 11  21      1.5724005758E+02     2.9945730191E+02    -5.8710510602E+02
 11  22      1.5724005758E+02     3.1445730191E+02    -5.8711371090E+02
 11  23      1.5724005758E+02     3.2945730191E+02    -5.8711234019E+02
 11  24      1.5724005758E+02     3.4445730191E+02    -5.8712526812E+02
 11  25      1.5724005758E+02     3.5945730191E+02    -5.8712336762E+02
 12   1      1.7224005758E+02    -5.4269808751E-01    -5.8711635463E+02
 12   2      1.7224005758E+02     1.4457301912E+01    -5.8711492870E+02
 12   3      1.7224005758E+02     2.9457301912E+01    -5.8711135012E+02
 12   4      1.7224005758E+02     4.4457301912E+01    -5.8710346868E+02
 12   5      1.7224005758E+02     5.9457301912E+01    -5.8709711831E+02
 12   6      1.7224005758E+02     7.4457301912E+01    -5.8709095829E+02
 12   7      1.7224005758E+02     8.9457301912E+01    -5.8708684560E+02
 12   8      1.7224005758E+02     1.0445730191E+02    -5.8710303094E+02
